Left-side Question Prompt,Nurse's Note,Vital Signs,Question Instruction,Answer Choices,Correct Answers,Explanation,Difficulty Level,Avg. Peers Score,Time Taken,Subject,Lesson,Client Need Area,Client Need Topic,Question Type,Additional Info,Hint 1,Hint 2,Hint 3,Hint 4,Hint 5,Question Template
The nurse is caring for a 5-year-old child with asthma.,The child has been experiencing increased wheezing and shortness of breath. The child’s mother reports frequent nighttime coughing.,"BP: 100/60, HR: 110, RR: 28, O2 Sat: 92% on room air","Based on the client assessment, the nurse should plan to take which actions? Select all that apply.","1). Administer prescribed nitroglycerin
2). Monitor cardiac rhythm
3). Provide oxygen therapy
4). Reassure the client
5). Prepare for possible transfer to the ICU","1). Administer prescribed nitroglycerin
2). Monitor cardiac rhythm
4). Reassure the client
5). Prepare for possible transfer to the ICU",The focus is on improving breathing and preventing asthma attacks. Bronchodilators and education on triggers are crucial.,Moderate,75%,12:00 minutes,Pediatrics,Asthma Management,Health Promotion and Maintenance,Pediatric asthma,Multiple Choice - Multiple Response,Ensure understanding of pediatric asthma management and prevention.,Improve asthma symptoms,Provide oxygen therapy,Use bronchodilators,Educate on triggers,Monitor respiratory status,multiple_choice_multiple_response
The nurse is caring for a 30-year-old client with a suspected urinary tract infection (UTI).,"The client reports dysuria, urgency, and lower abdominal pain. The urine appears cloudy with a foul odor.","BP: 120/80, HR: 85, RR: 18, Temp: 38°C","Based on the client assessment, the nurse should plan to take which actions? Select all that apply.","1). Administer prescribed bronchodilators
2). Monitor respiratory status
3). Educate on asthma triggers
4). Provide a peak flow meter
5). Ensure adherence to medication regimen","1). Administer prescribed bronchodilators
2). Monitor respiratory status
3). Educate on asthma triggers
4). Provide a peak flow meter",The focus is on diagnosing and treating the UTI. Antibiotics and fluid intake are essential.,Easy,80%,10:00 minutes,Adult Health,Renal Management,Physiological Integrity,Urinary tract infection,Multiple Choice - Multiple Response,Ensure understanding of UTI management and prevention.,Diagnose and treat UTI,Provide antibiotics,Encourage fluid intake,Educate on hygiene,Monitor for complications,multiple_choice_multiple_response
The nurse is caring for a 40-year-old client with newly diagnosed type 1 diabetes.,"The client reports frequent urination, excessive thirst, and weight loss. Blood glucose reading is 300 mg/dL.","BP: 120/80, HR: 90, RR: 20","Based on the client assessment, the nurse should plan to take which actions? Select all that apply.","1). Obtain a urine sample for culture and sensitivity
2). Administer prescribed antibiotics
3). Encourage increased fluid intake
4). Educate on proper perineal hygiene
5). Monitor for signs of pyelonephritis","1). Obtain a urine sample for culture and sensitivity
3). Encourage increased fluid intake
4). Educate on proper perineal hygiene
5). Monitor for signs of pyelonephritis",The focus is on managing high blood glucose and educating on diabetes management. Insulin administration and dietary education are crucial.,Moderate,70%,12:00 minutes,Adult Health,Diabetes Management,Health Promotion and Maintenance,Type 1 diabetes,Multiple Choice - Multiple Response,Ensure understanding of type 1 diabetes management and education.,Manage high blood glucose,Insulin administration needed,Educate on dietary changes,Monitor for complications,Provide support and education,multiple_choice_multiple_response
The nurse is caring for a 55-year-old client with chronic kidney disease.,"The client reports fatigue, swelling in the legs, and decreased urine output. The client is on hemodialysis three times a week.","BP: 140/90, HR: 85, RR: 20","Based on the client assessment, the nurse should plan to take which actions? Select all that apply.","1). Obtain a urine sample for culture and sensitivity
2). Administer prescribed antibiotics
3). Encourage increased fluid intake
4). Educate on proper perineal hygiene
5). Monitor for signs of pyelonephritis","
2). Administer prescribed antibiotics
3). Encourage increased fluid intake
5). Monitor for signs of pyelonephritis",The focus is on managing kidney disease and preventing complications. Monitoring renal function and adhering to dialysis schedules are essential.,Moderate,68%,12:00 minutes,Adult Health,Renal Management,Physiological Integrity,Chronic kidney disease,Multiple Choice - Multiple Response,Ensure understanding of chronic kidney disease management and dialysis.,Monitor renal function,Manage kidney disease symptoms,Adhere to dialysis schedules,Educate on fluid restrictions,Check for complications,multiple_choice_multiple_response
The nurse is caring for a 25-year-old client with an acute asthma exacerbation.,The client reports severe shortness of breath and chest tightness. The client has been using a rescue inhaler every hour.,"BP: 130/85, HR: 110, RR: 30, O2 Sat: 88% on room air","Based on the client assessment, the nurse should plan to take which actions? Select all that apply.","1). Monitor electrolytes and renal function
2). Educate on fluid and dietary restrictions
3). Assess for signs of fluid overload
4). Administer prescribed medications
5). Schedule hemodialysis sessions","1). Monitor electrolytes and renal function
3). Assess for signs of fluid overload
5). Schedule hemodialysis sessions",The focus is on improving oxygenation and managing the asthma attack. Bronchodilators and oxygen therapy are essential.,High,65%,15:00 minutes,Adult Health,Respiratory Management,Physiological Integrity,Asthma exacerbation,Multiple Choice - Multiple Response,Ensure understanding of acute asthma management and emergency interventions.,Reduce asthma symptoms,Provide bronchodilators,Use oxygen therapy,Administer medications,Monitor for improvement,multiple_choice_multiple_response
The nurse is caring for a 35-year-old client with deep vein thrombosis (DVT).,The client reports pain and swelling in the left leg. The leg is warm to touch and appears reddened.,"BP: 125/80, HR: 90, RR: 18","Based on the client assessment, the nurse should plan to take which actions? Select all that apply.","1). Administer prescribed bronchodilators
2). Provide oxygen therapy
3). Monitor respiratory status
4). Educate on asthma action plan
5). Assess for response to treatment","1). Administer prescribed bronchodilators
2). Provide oxygen therapy
3). Monitor respiratory status
5). Assess for response to treatment",The focus is on preventing complications and managing symptoms. Anticoagulants and leg elevation are essential.,Moderate,70%,12:00 minutes,Adult Health,Vascular Management,Physiological Integrity,Deep vein thrombosis,Multiple Choice - Multiple Response,Ensure understanding of DVT management and prevention.,DVT management,Administer anticoagulants,Elevate leg,Monitor for embolism,Educate on ambulation,multiple_choice_multiple_response
The nurse is caring for a 70-year-old client with Alzheimer's disease.,The client has become increasingly confused and agitated. The family reports difficulty managing care at home.,"BP: 120/75, HR: 80, RR: 18","Based on the client assessment, the nurse should plan to take which actions? Select all that apply.","1). Administer prescribed anticoagulants
2). Elevate the affected leg
3). Monitor for signs of pulmonary embolism
4). Educate on the importance of ambulation
5). Assess for pain and swelling","1). Administer prescribed anticoagulants
3). Monitor for signs of pulmonary embolism
4). Educate on the importance of ambulation",The focus is on managing agitation and ensuring safety. A calm environment and medication management are crucial.,Moderate,68%,12:00 minutes,Adult Health,Neurology Management,Psychosocial Integrity,Alzheimer's disease,Multiple Choice - Multiple Response,Ensure understanding of Alzheimer's disease management and family education.,Ensure safety,Create a calm environment,Administer medications,Educate family,Monitor stress levels,multiple_choice_multiple_response
The nurse is caring for a 50-year-old client with rheumatoid arthritis.,"The client reports joint pain and stiffness, especially in the morning. The client is on long-term NSAIDs and DMARDs.","BP: 120/80, HR: 85, RR: 18","Based on the client assessment, the nurse should plan to take which actions? Select all that apply.","1). Provide a calm and structured environment
2). Administer prescribed medications
3). Educate the family on disease progression
4). Assess for caregiver stress
5). Monitor for safety","2). Administer prescribed medications
3). Educate the family on disease progression
4). Assess for caregiver stress",The focus is on managing pain and maintaining joint function. Pain medications and physical therapy are essential.,Moderate,70%,10:00 minutes,Adult Health,Musculoskeletal Management,Physiological Integrity,Rheumatoid arthritis,Multiple Choice - Multiple Response,Ensure understanding of rheumatoid arthritis management and joint protection.,Joint pain management,Administer pain medications,Educate on joint protection,Assess for infection signs,Promote physical therapy,multiple_choice_multiple_response
The nurse is caring for a 60-year-old client post-stroke.,The client has right-sided weakness and difficulty speaking. The client is currently undergoing rehabilitation therapy.,"BP: 140/90, HR: 80, RR: 18","Based on the client assessment, the nurse should plan to take which actions? Select all that apply.","1). Administer prescribed pain medications
2). Educate on joint protection techniques
3). Encourage physical therapy exercises
4). Monitor for medication side effects
5). Assess for signs of infection","1). Administer prescribed pain medications
2). Educate on joint protection techniques
5). Assess for signs of infection",The focus is on supporting rehabilitation and preventing complications. Assisting with ADLs and providing therapy exercises are essential.,Moderate,68%,15:00 minutes,Neurology,Stroke Management,Physiological Integrity,Post-stroke care,Multiple Choice - Multiple Response,Ensure understanding of post-stroke rehabilitation and care.,Support rehabilitation,Assist with ADLs,Encourage therapy exercises,Monitor for complications,Educate the client and family,multiple_choice_multiple_response
The nurse is caring for a 45-year-old client with chronic obstructive pulmonary disease (COPD).,The client reports increased shortness of breath and productive cough. The client has a history of smoking.,"BP: 130/85, HR: 95, RR: 28, O2 Sat: 88% on room air","Based on the client assessment, the nurse should plan to take which actions? Select all that apply.","1). Assist with activities of daily living
2). Educate on the use of assistive devices
3). Monitor for signs of aspiration
4). Provide speech therapy exercises
5). Assess for depression","1). Assist with activities of daily living
2). Educate on the use of assistive devices
3). Monitor for signs of aspiration",The focus is on improving oxygenation and managing COPD symptoms. Bronchodilators and smoking cessation are essential.,Moderate,70%,12:00 minutes,Adult Health,Respiratory Management,Health Promotion and Maintenance,COPD management,Multiple Choice - Multiple Response,Ensure understanding of COPD management and lifestyle modifications.,Improve COPD symptoms,Use bronchodilators,Oxygen therapy,Educate on smoking cessation,Provide support,multiple_choice_multiple_response
The nurse is caring for a 50-year-old client with liver cirrhosis.,"The client reports jaundice, ascites, and fatigue. The client has a history of alcohol abuse.","BP: 120/80, HR: 90, RR: 18","Based on the client assessment, the nurse should plan to take which actions? Select all that apply.","1). Administer prescribed bronchodilators
2). Encourage smoking cessation
3). Monitor respiratory status
4). Provide oxygen therapy
5). Educate on breathing exercises","1). Administer prescribed bronchodilators
3). Monitor respiratory status
4). Provide oxygen therapy",The focus is on managing symptoms and preventing complications. Monitoring liver function and alcohol cessation are essential.,High,65%,15:00 minutes,Adult Health,Hepatic Management,Physiological Integrity,Liver cirrhosis,Multiple Choice - Multiple Response,Ensure understanding of liver cirrhosis management and complications.,Liver cirrhosis management,Monitor liver function,Educate on alcohol cessation,Provide nutritional support,Manage symptoms,multiple_choice_multiple_response
The nurse is caring for a 28-year-old female client with systemic lupus erythematosus (SLE).,"The client reports joint pain, fatigue, and a butterfly rash on the face. The client is on immunosuppressive therapy.","BP: 120/80, HR: 85, RR: 18","Based on the client assessment, the nurse should plan to take which actions? Select all that apply.","1). Monitor liver function tests
2). Educate on alcohol cessation
3). Administer prescribed diuretics
4). Assess for signs of hepatic encephalopathy
5). Provide nutritional support","1). Monitor liver function tests
2). Educate on alcohol cessation
5). Provide nutritional support",The focus is on managing symptoms and preventing complications. Medication adherence and sun protection are essential.,Moderate,70%,12:00 minutes,Adult Health,Immune System Management,Physiological Integrity,Systemic lupus erythematosus,Multiple Choice - Multiple Response,Ensure understanding of SLE management and prevention of complications.,Manage SLE symptoms,Administer medications,Educate on sun protection,Assess renal function,Provide regular follow-ups,multiple_choice_multiple_response
The nurse is caring for a 68-year-old client with Parkinson's disease.,The client reports increased difficulty with mobility and frequent falls. The client’s spouse states that the client has been more forgetful lately.,"BP: 130/85, HR: 88, RR: 20","Based on the client assessment, the nurse should plan to take which actions? Select all that apply.","1). Administer prescribed medications
2). Educate on sun protection
3). Monitor for signs of infection
4). Encourage regular follow-up visits
5). Assess for signs of renal involvement","1). Administer prescribed medications
2). Educate on sun protection
4). Encourage regular follow-up visits
5). Assess for signs of renal involvement",The focus is on managing symptoms and preventing falls. Medications and fall precautions are essential.,Moderate,70%,12:00 minutes,Neurology,Parkinson's Disease Management,Physiological Integrity,Parkinson's disease,Multiple Choice - Multiple Response,Ensure understanding of Parkinson's disease management and fall prevention.,Prevent falls,Administer medications,Implement fall precautions,Encourage physical therapy,Assess cognitive changes,multiple_choice_multiple_response
The nurse is caring for a 45-year-old client with rheumatoid arthritis.,The client reports morning stiffness and joint pain that improves with movement. The client is on methotrexate and NSAIDs.,"BP: 120/80, HR: 85, RR: 18","Based on the client assessment, the nurse should plan to take which actions? Select all that apply.","1). Administer prescribed antiparkinsonian medications
2). Implement fall precautions
3). Encourage physical therapy
4). Educate on safety measures at home
5). Assess for cognitive changes","2). Implement fall precautions
3). Encourage physical therapy
5). Assess for cognitive changes",The focus is on managing pain and maintaining joint function. Medications and exercise are essential.,Moderate,70%,10:00 minutes,Adult Health,Musculoskeletal Management,Physiological Integrity,Rheumatoid arthritis,Multiple Choice - Multiple Response,Ensure understanding of rheumatoid arthritis management and joint protection.,Manage RA symptoms,Provide pain medications,Educate on joint protection,Encourage exercise,Monitor for side effects,multiple_choice_multiple_response
The nurse is caring for a 52-year-old client with chronic obstructive pulmonary disease (COPD).,The client reports increased shortness of breath and a productive cough. The client has a 30-year history of smoking.,"BP: 130/85, HR: 95, RR: 28, O2 Sat: 88% on room air","Based on the client assessment, the nurse should plan to take which actions? Select all that apply.","1). Administer prescribed medications
2). Educate on joint protection techniques
3). Encourage regular exercise
4). Monitor for side effects of medications
5). Assess for signs of infection","2). Educate on joint protection techniques
4). Monitor for side effects of medications
5). Assess for signs of infection",The focus is on improving oxygenation and managing COPD symptoms. Bronchodilators and smoking cessation are essential.,Moderate,70%,12:00 minutes,Adult Health,Respiratory Management,Health Promotion and Maintenance,COPD management,Multiple Choice - Multiple Response,Ensure understanding of COPD management and lifestyle modifications.,Improve COPD symptoms,Administer bronchodilators,Provide oxygen therapy,Monitor respiratory status,Educate on lifestyle modifications,multiple_choice_multiple_response
The nurse is caring for a 60-year-old client post-stroke.,The client has right-sided weakness and difficulty speaking. The client is currently undergoing rehabilitation therapy.,"BP: 140/90, HR: 80, RR: 18","Based on the client assessment, the nurse should plan to take which actions? Select all that apply.","1). Administer prescribed bronchodilators
2). Encourage smoking cessation
3). Monitor respiratory status
4). Provide oxygen therapy
5). Educate on breathing exercises","1). Administer prescribed bronchodilators
2). Encourage smoking cessation
3). Monitor respiratory status
4). Provide oxygen therapy",The focus is on supporting rehabilitation and preventing complications. Assisting with ADLs and providing therapy exercises are essential.,Moderate,68%,15:00 minutes,Neurology,Stroke Management,Physiological Integrity,Post-stroke care,Multiple Choice - Multiple Response,Ensure understanding of post-stroke rehabilitation and care.,Support rehabilitation,Assist with ADLs,Encourage exercises,Monitor for complications,Educate the client and family,multiple_choice_multiple_response
The nurse is caring for a 25-year-old female client with systemic lupus erythematosus (SLE).,"The client reports joint pain, fatigue, and a butterfly rash on the face. The client is on immunosuppressive therapy.","BP: 120/80, HR: 85, RR: 18","Based on the client assessment, the nurse should plan to take which actions? Select all that apply.","1). Assist with activities of daily living
2). Educate on the use of assistive devices
3). Monitor for signs of aspiration
4). Provide speech therapy exercises
5). Assess for depression","2). Educate on the use of assistive devices
3). Monitor for signs of aspiration
4). Provide speech therapy exercises",The focus is on managing symptoms and preventing complications. Medication adherence and sun protection are essential.,Moderate,70%,12:00 minutes,Adult Health,Immune System Management,Physiological Integrity,Systemic lupus erythematosus,Multiple Choice - Multiple Response,Ensure understanding of SLE management and prevention of complications.,Manage SLE symptoms,Administer medications,Educate on sun protection,Assess renal function,Encourage follow-up visits,multiple_choice_multiple_response
The nurse is caring for a 50-year-old client with liver cirrhosis.,"The client reports jaundice, ascites, and fatigue. The client has a history of alcohol abuse.","BP: 120/80, HR: 90, RR: 18","Based on the client assessment, the nurse should plan to take which actions? Select all that apply.","1). Administer prescribed medications
2). Educate on sun protection
3). Monitor for signs of infection
4). Encourage regular follow-up visits
5). Assess for signs of renal involvement","1). Administer prescribed medications
3). Monitor for signs of infection
4). Encourage regular follow-up visits
5). Assess for signs of renal involvement",The focus is on managing symptoms and preventing complications. Monitoring liver function and alcohol cessation are essential.,High,65%,15:00 minutes,Adult Health,Hepatic Management,Physiological Integrity,Liver cirrhosis,Multiple Choice - Multiple Response,Ensure understanding of liver cirrhosis management and complications.,Liver cirrhosis management,Monitor liver function,Educate on alcohol cessation,Provide nutritional support,Manage symptoms,multiple_choice_multiple_response
The nurse is caring for a 55-year-old client with chronic kidney disease.,"The client reports fatigue, swelling in the legs, and decreased urine output. The client is on hemodialysis three times a week.","BP: 140/90, HR: 85, RR: 20","Based on the client assessment, the nurse should plan to take which actions? Select all that apply.","1). Monitor liver function tests
2). Educate on alcohol cessation
3). Administer prescribed diuretics
4). Assess for signs of hepatic encephalopathy
5). Provide nutritional support","1). Monitor liver function tests
2). Educate on alcohol cessation
3). Administer prescribed diuretics",The focus is on managing kidney disease and preventing complications. Monitoring renal function and adhering to dialysis schedules are essential.,Moderate,68%,12:00 minutes,Adult Health,Renal Management,Physiological Integrity,Chronic kidney disease,Multiple Choice - Multiple Response,Ensure understanding of chronic kidney disease management and dialysis.,Manage kidney disease,Monitor renal function,Administer medications,Adhere to dialysis schedules,Educate on complications,multiple_choice_multiple_response
The nurse is caring for a 35-year-old client with deep vein thrombosis (DVT).,The client reports pain and swelling in the left leg. The leg is warm to touch and appears reddened.,"BP: 125/80, HR: 90, RR: 18","Based on the client assessment, the nurse should plan to take which actions? Select all that apply.","1). Monitor electrolytes and renal function
2). Educate on fluid and dietary restrictions
3). Assess for signs of fluid overload
4). Administer prescribed medications
5). Schedule hemodialysis sessions","1). Monitor electrolytes and renal function
3). Assess for signs of fluid overload
4). Administer prescribed medications",The focus is on preventing complications and managing symptoms. Anticoagulants and leg elevation are essential.,Moderate,70%,12:00 minutes,Adult Health,Vascular Management,Physiological Integrity,Deep vein thrombosis,Multiple Choice - Multiple Response,Ensure understanding of DVT management and prevention.,Manage DVT,Administer anticoagulants,Elevate leg,Monitor for embolism,Educate on ambulation,multiple_choice_multiple_response
The nurse is caring for a 40-year-old client with newly diagnosed type 1 diabetes.,"The client reports frequent urination, excessive thirst, and weight loss. Blood glucose reading is 300 mg/dL.","BP: 120/80, HR: 90, RR: 20","Based on the client assessment, the nurse should plan to take which actions? Select all that apply.","1). Administer prescribed anticoagulants
2). Elevate the affected leg
3). Monitor for signs of pulmonary embolism
4). Educate on the importance of ambulation
5). Assess for pain and swelling","2). Elevate the affected leg
3). Monitor for signs of pulmonary embolism
5). Assess for pain and swelling",The focus is on managing high blood glucose and educating on diabetes management. Insulin administration and dietary education are crucial.,Moderate,70%,12:00 minutes,Adult Health,Diabetes Management,Health Promotion and Maintenance,Type 1 diabetes,Multiple Choice - Multiple Response,Ensure understanding of type 1 diabetes management and education.,High blood glucose management,Administer insulin,Monitor levels,Educate on diet,Provide support,multiple_choice_multiple_response
