Left-side Question prompt,Nurses' Note,Vital Signs,Orders,Right-side Question Prompt,Question instruction,Medication,Drug Classification,Client Teaching,Correct Answer,Explanation,Difficulty level,Avg. Peers Score,Time taken,Subject,Lesson,Client need area,Client need topic,Question type,Additional Info,Hint 1,Hint 2,Hint 3,Hint 4,Hint 5,Question Template
The following scenario applies to the next 1 items,"0700: Client reports severe burning and tingling pain in the right leg following an injury sustained during a fall two weeks ago. He has a history of type 2 diabetes mellitus. Upon assessment, the right leg is swollen, warm to the touch, and tender with limited range of motion.",Oral temperature 99.1° F (37.3° C) Pulse 88/minute Respirations 18/minute Blood pressure 135/85 Pulse oximetry reading 97% on room air,"Doppler ultrasound of the right leg stat CBC, D-dimer Enoxaparin 40 mg subcut daily Ibuprofen 400 mg PO every 6 hours PRN pain",The nurse prepares to administer enoxaparin as prescribed.,Select the appropriate nursing interventions and considerations for administering enoxaparin.,1. Labetalol; 2. Repeat Blood Pressure; 3. IV Fluids;,"1a) Beta-blocker
1b) Alpha-blocker
1c) ACE inhibitor
2a) Diagnostic test
2b) Monitoring tool
2c) Therapeutic procedure
3a) Intravenous solution
3b) Blood product
3c) Nutritional supplement","1a). Monitor for signs of allergic reaction.
1b). Assess for improvement in symptoms.
1c). Instruct the client to complete the full course of antibiotics.
2a). Monitor for signs of eye irritation.
2b). Assess for improvement in intraocular pressure.
2c). Instruct the client to administer the eye drops in the evening.
3a). Monitor for signs of respiratory depression.
3b). Assess for relief of pain.
3c). Instruct the client to report any signs of confusion or agitation.","1c). Instruct the client to complete the full course of antibiotics.
2a). Monitor for signs of eye irritation.
3c). Instruct the client to report any signs of confusion or agitation.","Enoxaparin is an anticoagulant used to prevent and treat deep vein thrombosis (DVT) by inhibiting factor Xa and thrombin. The nurse must monitor the client for signs of bleeding, such as bruising and hematuria, and assess injection sites for hematoma formation. The client should be instructed to avoid activities that increase the risk of bleeding, such as contact sports.",Medium,3/6,4 mins,Musculoskeletal,DVT Management,Physiological Integrity,Clotting Mechanisms,Multiple Choice,,"Nurses Note: 0930, Client with severe headache, vomiting",history of hypertension.,"Vital Signs: Blood pressure 180/110, Pulse 80.",Orders: IV labetalol for hypertensive emergency.,Client Teaching: Rise slowly to prevent dizziness.,close_drop_down_2
The following scenario applies to the next 1 items,"0800: Client reports severe pain and swelling in the left knee following a soccer injury yesterday. He denies any previous injuries to the knee. Upon assessment, the left knee is swollen, tender, and has limited range of motion.",Oral temperature 98.6° F (37° C) Pulse 84/minute Respirations 16/minute Blood pressure 120/80 Pulse oximetry reading 98% on room air,X-ray of the left knee stat Acetaminophen 650 mg PO every 6 hours PRN pain Ibuprofen 400 mg PO every 6 hours PRN swelling,The nurse prepares to administer ibuprofen as prescribed.,Select the appropriate nursing interventions and considerations for administering ibuprofen.,1. Enoxaparin; 2. Ibuprofen; 3. Doppler Ultrasound;,"1a) Anticoagulant
1b) Antiplatelet
1c) Thrombolytic
2a) NSAID
2b) Opioid analgesic
2c) Antihistamine
3a) Diagnostic test
3b) Monitoring tool
3c) Therapeutic procedure","1a). Monitor for signs of allergic reaction.
1b). Assess for improvement in symptoms.
1c). Instruct the client to complete the full course of antibiotics.
2a). Monitor for signs of gastrointestinal bleeding.
2b). Assess for relief of pain and inflammation.
2c). Instruct the client to take with food to reduce gastric irritation.
3a). Monitor for signs of allergic reaction.
3b). Assess for improvement in symptoms.
3c). Instruct the client to complete the full course of antibiotics.","1c). Instruct the client to complete the full course of antibiotics.
2a). Monitor for signs of gastrointestinal bleeding.
3b). Assess for improvement in symptoms.","Ibuprofen is a nonsteroidal anti-inflammatory drug (NSAID) used to manage pain and inflammation by inhibiting prostaglandin synthesis. The nurse must monitor the client for signs of gastrointestinal bleeding, such as tarry stools and abdominal pain, and assess for relief of pain and swelling. Ibuprofen should be taken with food to reduce gastric irritation.",Medium,3/6,4 mins,Musculoskeletal,Pain and Inflammation Management,Safe and Effective Care Environment,Pain Management,Multiple Choice,,"Nurses Note: 0700, Client with severe leg pain",history of type 2 diabetes.,"Vital Signs: Blood pressure 135/85, Pulse 88.",Orders: Enoxaparin for DVT prevention.,Client Teaching: Avoid activities that increase bleeding risk.,close_drop_down_2
The following scenario applies to the next 1 items,"1000: Client presents with complaints of chest pain, shortness of breath, and fatigue. He has a history of coronary artery disease and is on atorvastatin. Upon assessment, the client appears diaphoretic and anxious.",Oral temperature 98.4° F (36.9° C) Pulse 100/minute Respirations 22/minute Blood pressure 150/90 Pulse oximetry reading 93% on room air,ECG Stat Troponin level stat Aspirin 325 mg PO once Nitroglycerin 0.4 mg sublingual every 5 minutes up to 3 doses Morphine 2 mg IV every 4 hours PRN chest pain,The nurse prepares to administer nitroglycerin as prescribed.,Select the appropriate nursing interventions and considerations for administering nitroglycerin.,1. Ibuprofen; 2. Acetaminophen; 3. X-ray;,"1a) NSAID
1b) Opioid analgesic
1c) Antipyretic
2a) Analgesic
2b) Antipyretic
2c) NSAID
3a) Diagnostic test
3b) Therapeutic procedure
3c) Monitoring tool","1a). Monitor blood pressure before and after administration.
1b). Instruct the client to sit or lie down during administration.
1c). Assess for relief of chest pain.
2a). Monitor for signs of allergic reaction.
2b). Assess for improvement in symptoms.
2c). Instruct the client to complete the full course of antibiotics.
3a). Monitor for signs of eye irritation.
3b). Assess for relief of allergic symptoms.
3c). Instruct the client to avoid rubbing the eyes.","1a). Monitor blood pressure before and after administration.
2b). Assess for improvement in symptoms.
3c). Instruct the client to avoid rubbing the eyes.","Nitroglycerin is a vasodilator used to manage chest pain (angina) by dilating coronary arteries and reducing myocardial oxygen demand. The nurse must monitor the client's blood pressure before and after administration, as nitroglycerin can cause significant hypotension. The client should be instructed to sit or lie down during administration to prevent falls. The nurse must also assess for relief of chest pain.",Medium,4/6,5 mins,Cardiovascular,Chest Pain Management,Safe and Effective Care Environment,Cardiac Care,Multiple Choice,,"Nurses Note: 0800, Client with severe knee pain after a fall.","Vital Signs: Blood pressure 120/80, Pulse 84.",Orders: Ibuprofen for pain and swelling.,Client Teaching: Take with food to prevent gastric irritation.,Safety: Monitor for signs of gastrointestinal bleeding.,close_drop_down_2
The following scenario applies to the next 1 items,"0730: Client reports fever, chills, and productive cough with green sputum for the past three days. He has a history of chronic obstructive pulmonary disease (COPD). Upon assessment, the client appears flushed with increased work of breathing.",Oral temperature 101.3° F (38.5° C) Pulse 96/minute Respirations 24/minute Blood pressure 130/80 Pulse oximetry reading 90% on room air,Chest X-ray stat Sputum culture and sensitivity IV fluids: 0.9% Normal Saline at 125 mL/hr Levofloxacin 500 mg IV daily Albuterol nebulizer every 4 hours PRN wheezing,The nurse prepares to administer levofloxacin as prescribed.,Select the appropriate nursing interventions and considerations for administering levofloxacin.,1. Aspirin; 2. Nitroglycerin; 3. Morphine;,"1a) Antiplatelet
1b) NSAID
1c) Antipyretic
2a) Vasodilator
2b) Antianginal
2c) Antihypertensive
3a) Opioid analgesic
3b) Sedative
3c) Anesthetic","1a). Monitor for signs of dry mouth and dizziness.
1b). Assess for relief of abdominal cramping.
1c). Instruct the client to avoid activities that require mental alertness.
2a). Monitor for signs of bleeding.
2b). Assess for relief of chest pain.
2c). Instruct the client to chew the tablet for faster absorption.
3a). Monitor for signs of liver toxicity.
3b). Assess for relief of pain and swelling.
3c). Instruct the client not to exceed the recommended daily dose.","1b). Assess for relief of abdominal cramping.
2a). Monitor for signs of bleeding.
3c). Instruct the client not to exceed the recommended daily dose.","Levofloxacin is a fluoroquinolone antibiotic used to treat bacterial infections by inhibiting DNA gyrase and topoisomerase IV. The nurse must monitor the client for signs of allergic reaction, such as rash and difficulty breathing, and assess for relief of symptoms. The client should be instructed to report any signs of tendon pain or inflammation, as fluoroquinolones can cause tendonitis and tendon rupture.",Medium,4/6,5 mins,Respiratory,COPD Exacerbation,Physiological Integrity,Infection Control,Multiple Choice,,"Nurses Note: 1000, Client with chest pain and shortness of breath",history of coronary artery disease.,"Vital Signs: Blood pressure 150/90, Pulse 100.",Orders: Nitroglycerin for angina.,Client Teaching: Sit or lie down during administration.,close_drop_down_2
The following scenario applies to the next 1 items,"0900: Client presents with new onset confusion, agitation, and disorientation. He has a history of dementia and is on donepezil. Upon assessment, the client is unable to follow commands and appears restless.",Oral temperature 98.6° F (37° C) Pulse 88/minute Respirations 20/minute Blood pressure 130/80 Pulse oximetry reading 95% on room air,"CT scan of the head stat CBC, BMP Urinalysis Donepezil 10 mg PO Daily Haloperidol 0.5 mg PO every 6 hours PRN agitation",The nurse prepares to administer haloperidol as prescribed.,Select the appropriate nursing interventions and considerations for administering haloperidol.,1. Levofloxacin; 2. Albuterol; 3. IV Fluids;,"1a) Antibiotic
1b) Antiviral
1c) Antifungal
2a) Bronchodilator
2b) Corticosteroid
2c) Antihistamine
3a) Intravenous solution
3b) Blood product
3c) Nutritional supplement","1a). Monitor for signs of chest pain.
1b). Assess for relief of headache.
1c). Instruct the client to report any signs of tingling or numbness.
2a). Monitor for signs of rash.
2b). Assess for relief of joint pain and swelling.
2c). Instruct the client to take the medication with food.
3a). Monitor for signs of allergic reaction.
3b). Assess for relief of symptoms.
3c). Instruct the client to report any signs of tendon pain or inflammation.","1b). Assess for relief of headache.
2a). Monitor for signs of rash.
3c). Instruct the client to report any signs of tendon pain or inflammation.","Haloperidol is an antipsychotic used to manage agitation and confusion in clients with dementia by blocking dopamine receptors in the brain. The nurse must monitor the client for signs of extrapyramidal symptoms, such as tremors and rigidity, and assess for improvement in agitation. The client should be instructed to report any signs of tardive dyskinesia, such as involuntary movements of the face and tongue.",Medium,4/6,5 mins,Neurological,Dementia Management,Safe and Effective Care Environment,Agitation Control,Multiple Choice,,"Nurses Note: 0730, Client with fever, chills, and cough",history of COPD.,"Vital Signs: Blood pressure 130/80, Pulse 96.",Orders: Levofloxacin for bacterial infection.,Client Teaching: Report any signs of tendon pain.,close_drop_down_2
The following scenario applies to the next 1 items,"1100: Client reports severe right flank pain radiating to the groin and hematuria. He has a history of kidney stones. Upon assessment, the client appears in acute distress and is unable to sit still.",Oral temperature 98.7° F (37.1° C) Pulse 90/minute Respirations 22/minute Blood pressure 140/85 Pulse oximetry reading 96% on room air,Non-contrast CT scan of the abdomen and pelvis stat IV fluids: 0.9% Normal Saline at 125 mL/hr Morphine 4 mg IV every 4 hours PRN pain Tamsulosin 0.4 mg PO daily,The nurse prepares to administer tamsulosin as prescribed.,Select the appropriate nursing interventions and considerations for administering tamsulosin.,1. Haloperidol; 2. Donepezil; 3. Urinalysis;,"1a) Antipsychotic
1b) Antidepressant
1c) Anxiolytic
2a) Cholinesterase inhibitor
2b) Antipsychotic
2c) Antidepressant
3a) Diagnostic test
3b) Monitoring tool
3c) Screening test","1a). Monitor for signs of liver toxicity.
1b). Assess for relief of pain and fever.
1c). Instruct the client not to exceed the recommended daily dose.
2a). Monitor for signs of gastrointestinal bleeding.
2b). Assess for relief of pain and swelling.
2c). Instruct the client to take with food to reduce gastric irritation.
3a). Monitor for signs of gastrointestinal bleeding.
3b). Assess for relief of pain and swelling.
3c). Instruct the client to take with food to reduce gastric irritation.","1b). Assess for relief of pain and fever.
2c). Instruct the client to take with food to reduce gastric irritation.
3a). Monitor for signs of gastrointestinal bleeding.","Tamsulosin is an alpha-blocker used to improve urine flow in clients with kidney stones by relaxing the muscles in the prostate and bladder neck. The nurse must monitor the client for signs of hypotension, assess for relief of urinary symptoms, and instruct the client to take the medication 30 minutes after the same meal each day to ensure consistent absorption.",Medium,4/6,5 mins,Renal,Kidney Stone Management,Safe and Effective Care Environment,Pain Relief,Multiple Choice,,"Nurses Note: 0900, Client with confusion and agitation",history of dementia.,"Vital Signs: Blood pressure 130/80, Pulse 88.",Orders: Haloperidol for agitation.,Client Teaching: Report any signs of tardive dyskinesia.,close_drop_down_2
The following scenario applies to the next 1 items,"0730: Client presents with complaints of weakness, fatigue, and palpitations. She has a history of anemia and is on ferrous sulfate. Upon assessment, the client appears pale with conjunctival pallor.",Oral temperature 98.5° F (36.9° C) Pulse 100/minute Respirations 18/minute Blood pressure 110/70 Pulse oximetry reading 98% on room air,CBC stat Iron studies Ferrous sulfate 325 mg PO TID with meals Vitamin C 500 mg PO daily,The nurse prepares to administer ferrous sulfate as prescribed.,Select the appropriate nursing interventions and considerations for administering ferrous sulfate.,1. Morphine; 2. Tamsulosin; 3. CT Scan;,"1a) Opioid analgesic
1b) Sedative
1c) Anesthetic
2a) Alpha-blocker
2b) Antihypertensive
2c) Diuretic
3a) Diagnostic test
3b) Imaging technique
3c) Monitoring tool","1a). Monitor for signs of electrolyte imbalance.
1b). Assess for relief of constipation.
1c). Instruct the client to mix the powder with 8 ounces of water.
2a). Monitor for signs of allergic reaction.
2b). Assess for relief of symptoms.
2c). Instruct the client to complete the full course of medication.
3a). Monitor for signs of hypotension.
3b). Assess for relief of symptoms.
3c). Instruct the client to take the medication at the same time each day.","1b). Assess for relief of constipation.
2a). Monitor for signs of allergic reaction.
3c). Instruct the client to take the medication at the same time each day.","Ferrous sulfate is an iron supplement used to treat iron deficiency anemia by increasing the production of hemoglobin. The nurse must monitor the client for signs of gastrointestinal discomfort, such as nausea and constipation, and assess for improvement in hemoglobin and hematocrit levels. The client should be instructed to take the medication with vitamin C to enhance absorption.",Medium,3/6,4 mins,Hematology,Anemia Management,Health Promotion and Maintenance,Nutritional Support,Multiple Choice,,"Nurses Note: 1100, Client with severe right flank pain",history of kidney stones.,"Vital Signs: Blood pressure 140/85, Pulse 90.",Orders: Tamsulosin for urine flow improvement.,Client Teaching: Take 30 minutes after the same meal daily.,close_drop_down_2
The following scenario applies to the next 1 items,"0830: Client presents with complaints of rash, itching, and swelling of the lips and face after eating shrimp. He has a history of allergies. Upon assessment, the client appears anxious with mild respiratory distress.",Oral temperature 98.6° F (37° C) Pulse 110/minute Respirations 24/minute Blood pressure 130/80 Pulse oximetry reading 94% on room air,Epinephrine 0.3 mg IM stat Diphenhydramine 50 mg IV once Albuterol nebulizer every 4 hours PRN wheezing,The nurse prepares to administer epinephrine as prescribed.,Select the appropriate nursing interventions and considerations for administering epinephrine.,1. Ferrous Sulfate; 2. Vitamin C; 3. CBC;,"1a) Iron supplement
1b) Vitamin
1c) Antacid
2a) Vitamin
2b) Antioxidant
2c) Antibiotic
3a) Diagnostic test
3b) Screening test
3c) Monitoring tool","1a). Monitor for signs of headache and dizziness.
1b). Assess for relief of nausea and vomiting.
1c). Instruct the client to report any signs of irregular heartbeat.
2a). Monitor for signs of allergic reaction.
2b). Assess for improvement in symptoms.
2c). Instruct the client to complete the full course of antibiotics.
3a). Monitor for signs of gastrointestinal bleeding.
3b). Assess for relief of pain and swelling.
3c). Instruct the client to take with food to reduce gastric irritation.","1c). Instruct the client to report any signs of irregular heartbeat.
2b). Assess for improvement in symptoms.
3a). Monitor for signs of gastrointestinal bleeding.",Epinephrine is an adrenergic agonist used to treat severe allergic reactions (anaphylaxis) by causing vasoconstriction and bronchodilation. The nurse must monitor the client for signs of improved breathing and assess for relief of allergic symptoms. The client should be instructed to seek emergency care if symptoms worsen.,Medium,4/6,5 mins,Immunology,Anaphylaxis Management,Safe and Effective Care Environment,Allergy Control,Multiple Choice,,"Nurses Note: 0730, Client with weakness, fatigue",history of anemia.,"Vital Signs: Blood pressure 110/70, Pulse 100.",Orders: Ferrous sulfate for iron deficiency.,Client Teaching: Take with vitamin C to enhance absorption.,close_drop_down_2
The following scenario applies to the next 1 items,"0900: Client reports severe pain and swelling in the right wrist after a fall. He denies any previous injuries to the wrist. Upon assessment, the right wrist is swollen, tender, and has limited range of motion.",Oral temperature 98.6° F (37° C) Pulse 84/minute Respirations 16/minute Blood pressure 120/80 Pulse oximetry reading 98% on room air,X-ray of the right wrist stat Acetaminophen 650 mg PO every 6 hours PRN pain Ibuprofen 400 mg PO every 6 hours PRN swelling,The nurse prepares to administer acetaminophen as prescribed.,Select the appropriate nursing interventions and considerations for administering acetaminophen.,1. Epinephrine; 2. Diphenhydramine; 3. Albuterol;,"1a) Vasopressor
1b) Bronchodilator
1c) Antihistamine
2a) Antihistamine
2b) Sedative
2c) Antiemetic
3a) Bronchodilator
3b) Corticosteroid
3c) Antihistamine","1a). Monitor for signs of liver toxicity.
1b). Assess for relief of pain and swelling.
1c). Instruct the client not to exceed the recommended daily dose.
2a). Monitor for signs of gastrointestinal bleeding.
2b). Assess for relief of pain and swelling.
2c). Instruct the client to take with food to reduce gastric irritation.
3a). Monitor for signs of electrolyte imbalance.
3b). Assess for relief of constipation.
3c). Instruct the client to mix the powder with 8 ounces of water.","1c). Instruct the client not to exceed the recommended daily dose.
2a). Monitor for signs of gastrointestinal bleeding.
3b). Assess for relief of constipation.","Acetaminophen is an analgesic used to manage pain and reduce fever by inhibiting the synthesis of prostaglandins in the central nervous system. The nurse must monitor the client for signs of liver toxicity, such as jaundice and elevated liver enzymes, and assess for relief of pain and swelling. The client should be instructed not to exceed the recommended daily dose to prevent liver damage.",Medium,3/6,4 mins,Musculoskeletal,Pain and Swelling Management,Safe and Effective Care Environment,Pain Management,Multiple Choice,,"Nurses Note: 0830, Client with rash and swelling after eating shrimp.","Vital Signs: Blood pressure 130/80, Pulse 110.",Orders: Epinephrine for allergic reaction.,Client Teaching: Seek emergency care if symptoms worsen.,Safety: Monitor for improved breathing.,close_drop_down_2
The following scenario applies to the next 1 items,"1100: Client reports severe abdominal pain, nausea, and vomiting. He has a history of peptic ulcer disease and is on omeprazole. Upon assessment, the client appears in distress with guarding and tenderness in the epigastric region.",Oral temperature 99.0° F (37.2° C) Pulse 90/minute Respirations 20/minute Blood pressure 130/80 Pulse oximetry reading 97% on room air,"Endoscopy stat CBC, BMP Omeprazole 20 mg PO BID Ondansetron 4 mg IV every 6 hours PRN nausea",The nurse prepares to administer omeprazole as prescribed.,Select the appropriate nursing interventions and considerations for administering omeprazole.,1. Acetaminophen; 2. Ibuprofen; 3. X-ray;,"1a) Analgesic
1b) Antipyretic
1c) NSAID
2a) NSAID
2b) Opioid analgesic
2c) Antipyretic
3a) Diagnostic test
3b) Imaging technique
3c) Monitoring tool","1a). Monitor for signs of constipation.
1b). Assess for relief of diarrhea.
1c). Instruct the client to take the medication after each loose stool.
2a). This medication may cause dizziness and headaches.
2b). Take this medication at the same time each day.
2c). Avoid operating heavy machinery while taking this medication.
3a). This medication may cause drowsiness.
3b). Rinse your mouth after using the inhaler to prevent irritation.
3c). Complete the full course of antibiotics even if you feel better.","1b). Assess for relief of diarrhea.
2c). Avoid operating heavy machinery while taking this medication.
3a). This medication may cause drowsiness.","Omeprazole is a proton pump inhibitor used to treat peptic ulcer disease by reducing gastric acid secretion. The nurse must monitor the client for signs of gastrointestinal bleeding, such as tarry stools and abdominal pain, and assess for relief of symptoms. The client should be instructed to take the medication before meals for optimal effectiveness.",Medium,4/6,5 mins,Gastrointestinal,Peptic Ulcer Disease Management,Safe and Effective Care Environment,Symptom Relief,Multiple Choice,,"Nurses Note: 0900, Client with severe wrist pain after a fall.","Vital Signs: Blood pressure 120/80, Pulse 84.",Orders: Acetaminophen for pain management.,Client Teaching: Do not exceed the recommended daily dose.,Safety: Monitor for signs of liver toxicity.,close_drop_down_2
The following scenario applies to the next 1 items,"0730: Client presents with complaints of severe headache, stiff neck, and sensitivity to light. He has a history of migraines. Upon assessment, the client appears in distress with photophobia and nuchal rigidity.",Oral temperature 100.2° F (37.9° C) Pulse 90/minute Respirations 18/minute Blood pressure 130/80 Pulse oximetry reading 96% on room air,"Lumbar puncture stat CBC, BMP IV fluids: 0.9% Normal Saline at 125 mL/hr Sumatriptan 6 mg subcut once Acetaminophen 650 mg PO every 6 hours PRN pain",The nurse prepares to administer sumatriptan as prescribed.,Select the appropriate nursing interventions and considerations for administering sumatriptan.,1. Omeprazole; 2. Ondansetron; 3. Endoscopy;,"1a) Proton pump inhibitor
1b) Antacid
1c) Antiemetic
2a) Antiemetic
2b) Antihistamine
2c) Analgesic
3a) Diagnostic procedure
3b) Therapeutic procedure
3c) Screening test","1a). This medication may cause dizziness.
1b). You may experience frequent urination.
1c). You will need to reduce the amount of potassium in your diet.
2a). You should notice mood improvement within 5 to 7 days.
2b). You may notice an increase in libido.
2c). Diarrhea is a common side effect of this medication.
3a). Do not take this medication with alcohol.
3b). See emergency care for a persistent, painful erection.
3c). Take this medication two hours before bedtime.","1b). You may experience frequent urination.
2a). You should notice mood improvement within 5 to 7 days.
3c). Take this medication two hours before bedtime.","Sumatriptan is a serotonin receptor agonist used to treat acute migraine attacks by causing vasoconstriction of cranial blood vessels. The nurse must monitor the client for signs of chest pain, assess for relief of headache, and instruct the client to report any signs of tingling or numbness.",Medium,3/6,4 mins,Neurological,Migraine Management,Safe and Effective Care Environment,Headache Relief,Multiple Choice,,"Nurses Note: 1100, Client with severe abdominal pain, nausea",history of peptic ulcer disease.,"Vital Signs: Blood pressure 130/80, Pulse 90.",Orders: Omeprazole for gastric acid reduction.,Client Teaching: Take before meals for effectiveness.,close_drop_down_2
The following scenario applies to the next 1 items,"1000: Client presents with complaints of severe joint pain, swelling, and redness in the right big toe. He has a history of gout and is on allopurinol. Upon assessment, the right big toe is swollen, warm, and tender to touch.",Oral temperature 98.6° F (37° C) Pulse 84/minute Respirations 18/minute Blood pressure 130/80 Pulse oximetry reading 98% on room air,"Uric acid level stat CBC, BMP Allopurinol 300 mg PO daily Colchicine 0.6 mg PO every 6 hours PRN pain",The nurse prepares to administer colchicine as prescribed.,Select the appropriate nursing interventions and considerations for administering colchicine.,1. Sumatriptan; 2. Acetaminophen; 3. Lumbar Puncture;,"1a) Antimigraine
1b) Analgesic
1c) Antiemetic
2a) Analgesic
2b) Antipyretic
2c) NSAID
3a) Diagnostic test
3b) Therapeutic procedure
3c) Monitoring tool","1a). This medication may cause rapid heart rate.
1b). Rinse your mouth after use.
1c). Take this medication in the evening.
2a). This medication may cause nervousness.
2b). Monitor for signs of oral thrush.
2c). Report any mood changes to your provider.
3a). Monitor for respiratory depression.
3b). Ensure the client is not allergic to opioids.
3c). Assess pain relief after administration.","1b). Rinse your mouth after use.
2c). Report any mood changes to your provider.
3a). Monitor for respiratory depression.","Colchicine is an anti-gout agent used to treat acute gout attacks by reducing inflammation and decreasing the deposition of uric acid crystals in the joints. The nurse must monitor the client for signs of gastrointestinal upset, such as nausea and diarrhea, and assess for relief of joint pain and swelling. The client should be instructed to take the medication with food to reduce gastric irritation.",Medium,3/6,4 mins,Musculoskeletal,Gout Management,Physiological Integrity,Pain Relief,Multiple Choice,,"Nurses Note: 0730, Client with severe headache and photophobia",history of migraines.,"Vital Signs: Blood pressure 130/80, Pulse 90.",Orders: Sumatriptan for migraine relief.,Client Teaching: Report any signs of chest pain.,close_drop_down_2
The following scenario applies to the next 1 items,"0830: Client presents with complaints of severe chest pain and shortness of breath. He has a history of deep vein thrombosis (DVT) and is on warfarin. Upon assessment, the client appears in acute distress with an elevated respiratory rate.",Oral temperature 98.7° F (37.1° C) Pulse 110/minute Respirations 26/minute Blood pressure 140/90 Pulse oximetry reading 92% on room air,"CT pulmonary angiography stat CBC, PT/INR Heparin 5000 units IV bolus, then 1000 units/hr continuous infusion Oxygen 2 L/min via nasal cannula",The nurse prepares to administer heparin as prescribed.,Select the appropriate nursing interventions and considerations for administering heparin.,1. Allopurinol; 2. Colchicine; 3. CBC;,"1a) Antigout
1b) Analgesic
1c) Anti-inflammatory
2a) Antigout
2b) Analgesic
2c) Anti-inflammatory
3a) Diagnostic test
3b) Screening test
3c) Monitoring tool","1a). Monitor heart rate and blood pressure before administration.
1b). Instruct the client to rise slowly from a sitting or lying position.
1c). Assess for signs of heart failure.
2a). Monitor for headache and dizziness.
2b). Assess for relief of nausea and vomiting.
2c). Instruct the client to report any signs of irregular heartbeat.
3a). Administer within 15 minutes of a meal.
3b). Monitor for signs of hypoglycemia.
3c). Rotate injection sites to prevent lipodystrophy.","1b). Instruct the client to rise slowly from a sitting or lying position.
2c). Instruct the client to report any signs of irregular heartbeat.
3b). Monitor for signs of hypoglycemia.","Heparin is an anticoagulant used to treat and prevent thromboembolic disorders by inhibiting the formation of blood clots. The nurse must monitor the client for signs of bleeding, such as bruising and hematuria, assess for improvement in respiratory status, and instruct the client to avoid activities that increase the risk of bleeding, such as contact sports.",Medium,4/6,5 mins,Cardiovascular,Pulmonary Embolism Management,Safe and Effective Care Environment,Clot Prevention,Multiple Choice,,"Nurses Note: 1000, Client with severe joint pain",history of gout.,"Vital Signs: Blood pressure 130/80, Pulse 84.",Orders: Colchicine for gout attack.,Client Teaching: Take with food to reduce gastric irritation.,close_drop_down_2
The following scenario applies to the next 1 items,"0900: Client presents with complaints of severe back pain radiating down the left leg. He has a history of herniated disc. Upon assessment, the client appears in distress with limited range of motion in the lumbar spine.",Oral temperature 98.6° F (37° C) Pulse 84/minute Respirations 18/minute Blood pressure 130/80 Pulse oximetry reading 98% on room air,"MRI of the lumbar spine stat CBC, BMP Ibuprofen 600 mg PO every 6 hours PRN pain Cyclobenzaprine 10 mg PO every 8 hours PRN muscle spasm",The nurse prepares to administer cyclobenzaprine as prescribed.,Select the appropriate nursing interventions and considerations for administering cyclobenzaprine.,1. Heparin; 2. Oxygen; 3. CT Pulmonary Angiography;,"1a) Anticoagulant
1b) Antiplatelet
1c) Thrombolytic
2a) Respiratory agent
2b) Analgesic
2c) Sedative
3a) Diagnostic test
3b) Imaging technique
3c) Screening test","1a). Monitor for signs of electrolyte imbalance.
1b). Assess for decreased edema.
1c). Instruct the client to report any signs of hearing loss.
2a). Monitor heart rate and blood pressure before and after administration.
2b). Instruct the client to rise slowly from a sitting or lying position.
2c). Assess for signs of dizziness or lightheadedness.
3a). Monitor for signs of bleeding.
3b). Assess injection sites for hematoma formation.
3c). Instruct the client to avoid activities that increase the risk of bleeding.","1c). Instruct the client to report any signs of hearing loss.
2a). Monitor heart rate and blood pressure before and after administration.
3b). Assess injection sites for hematoma formation.","Cyclobenzaprine is a muscle relaxant used to treat muscle spasms associated with musculoskeletal conditions by acting on the central nervous system. The nurse must monitor the client for signs of drowsiness, assess for relief of muscle spasms, and instruct the client to avoid alcohol and other CNS depressants to prevent additive sedative effects.",Medium,3/6,4 mins,Musculoskeletal,Back Pain Management,Physiological Integrity,Pain Relief,Multiple Choice,,"Nurses Note: 0830, Client with chest pain",history of deep vein thrombosis.,"Vital Signs: Blood pressure 140/90, Pulse 110.",Orders: Heparin for blood clot prevention.,Client Teaching: Avoid activities that increase bleeding risk.,close_drop_down_2
